ç
"Município","ibge","latitude","longitude","/Educação/Ens...de Série/Total 2013 (-)"
"São Sebastião do Caí","4319505","-29.588500000000","-51.374899999990","25,2"
"São Sepé","4319604","-30.164300000000","-53.560299999990","35,0"
"São Valentim","4319703","-27.558299999990","-52.523699999990","30,0"
"São Valentim do Sul","4319711","-29.045100000000","-51.768400000000","35,1"
"São Valério do Sul","4319737","-27.790600000000","-53.936799999990","49,2"
"São Vendelino","4319752","-29.372900000000","-51.367500000000","21,0"
"São Vicente do Sul","4319802","-29.688199999990","-54.682600000000","26,0"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","29,0"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","30,2"
"Sarandi","4320107","-27.942000000000","-52.923099999990","25,4"
"Seberi","4320206","-27.482900000000","-53.402600000000","22,9"
"Sede Nova","4320230","-27.636700000000","-53.949300000000","10,7"
"Segredo","4320263","-29.352300000000","-52.976700000000","37,1"
"Selbach","4320305","-28.629400000000","-52.949800000000","18,9"
"Senador Salgado Filho","4320321","-28.025000000000","-54.550699999990","16,4"
"Sentinela do Sul","4320354","-30.610700000000","-51.586199999990","31,4"
"Serafina Corrêa","4320404","-28.712599999990","-51.935299999990","18,4"
"Sério","4320453","-29.390400000000","-52.268500000000","20,0"
"Sertão","4320503","-27.979800000000","-52.258800000000","15,7"
"Sertão Santana","4320552","-30.456199999990","-51.601700000000","34,0"
"Sete de Setembro","4320578","-28.136199999990","-54.463700000000","14,9"
"Severiano de Almeida","4320602","-27.436199999990","-52.121699999990","16,0"
"Silveira Martins","4320651","-29.646699999990","-53.591000000000","24,3"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","24,3"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","29,4"
"Soledade","4320800","-28.830600000000","-52.513100000000","25,8"
"Tabaí","4320859","-29.643000000000","-51.682299999990","11,9"
"Tapejara","4320909","-28.065200000000","-52.009700000000","17,5"
"Tapera","4321006","-28.627700000000","-52.861199999990","14,0"
"Tapes","4321105","-30.668299999990","-51.399099999990","30,8"
"Taquara","4321204","-29.650500000000","-50.775300000000","20,4"
"Taquari","4321303","-29.794300000000","-51.865299999990","30,5"
"Taquaruçu do Sul","4321329","-27.400400000000","-53.470300000000","32,3"
"Tavares","4321352","-31.284300000000","-51.088000000000","31,0"
"Tenente Portela","4321402","-27.371099999990","-53.758499999990","18,0"
"Terra de Areia","4321436","-29.578199999990","-50.064399999990","30,5"
"Teutônia","4321451","-29.448200000000","-51.804400000000","20,1"
"Tio Hugo","4321469","-28.574040000000","-52.594900000000","22,9"
"Tiradentes do Sul","4321477","-27.402200000000","-54.081400000000","17,5"
"Toropi","4321493","-29.478200000000","-54.224400000000","27,6"
"Torres","4321501","-29.333400000000","-49.733300000000","23,5"
"Tramandaí","4321600","-29.984100000000","-50.132199999990","37,2"
"Travesseiro","4321626","-29.297699999990","-52.053199999990","14,8"
"Três Arroios","4321634","-27.500299999990","-52.144799999990","16,7"
"Três Cachoeiras","4321667","-29.448699999990","-49.927500000000","25,5"
"Três Coroas","4321709","-29.513700000000","-50.773899999990","30,0"
"Três de Maio","4321808","-27.780000000000","-54.235700000000","24,7"
"Três Forquilhas","4321832","-29.538399999990","-50.070799999990","15,9"
"Três Palmeiras","4321857","-27.613900000000","-52.843699999990","15,0"
"Três Passos","4321907","-27.455500000000","-53.929600000000","19,8"
"Trindade do Sul","4321956","-27.523900000000","-52.895600000000","17,9"
"Triunfo","4322004","-29.929099999990","-51.707500000000","39,8"
"Tucunduva","4322103","-27.657299999990","-54.443899999990","26,5"
"Tunas","4322152","-29.103899999990","-52.953800000000","22,2"
"Tupanci do Sul","4322186","-27.924099999990","-51.538300000000","21,3"
"Tupanciretã","4322202","-29.085799999990","-53.844499999990","38,7"
"Tupandi","4322251","-29.477200000000","-51.417400000000","12,3"
"Tuparendi","4322301","-27.759799999990","-54.481400000000","21,5"
"Turuçu","4322327","-31.417300000000","-52.170600000000","28,9"
"Ubiretama","4322343","-28.040400000000","-54.685899999990","15,3"
"União da Serra","4322350","-28.783300000000","-52.023800000000","20,0"
"Unistalda","4322376","-29.039999999990","-55.151699999990","25,8"
"Uruguaiana","4322400","-29.761399999990","-57.085299999990","28,8"
"Vacaria","4322509","-28.507899999990","-50.941800000000","24,4"
"Vale do Sol","4322533","-29.596699999990","-52.683900000000","31,7"
"Vale Real","4322541","-29.391900000000","-51.255899999990","24,0"
"Vale Verde","4322525","-29.786400000000","-52.185699999990","21,8"
"Vanini","4322558","-28.475800000000","-51.844700000000","7,8"
"Venâncio Aires","4322608","-29.614300000000","-52.193199999990","19,6"
"Vera Cruz","4322707","-29.718399999990","-52.515200000000","31,5"
"Veranópolis","4322806","-28.931200000000","-51.551600000000","24,7"
"Vespasiano Correa","4322855","-29.065500000000","-51.862500000000","29,3"
"Viadutos","4322905","-27.571600000000","-52.021099999990","19,8"
"Viamão","4323002","-30.081900000000","-51.019399999990","36,4"
"Vicente Dutra","4323101","-27.160799999990","-53.402200000000","34,4"
"Victor Graeff","4323200","-28.563199999990","-52.749499999990","11,7"
"Vila Flores","4323309","-28.859800000000","-51.550400000000","21,6"
"Vila Lângaro","4323358","-28.106200000000","-52.143799999990","14,4"
"Vila Maria","4323408","-28.535900000000","-52.148699999990","21,1"
"Vila Nova do Sul","4323457","-30.346100000000","-53.875999999990","21,9"
"Vista Alegre","4323507","-27.368600000000","-53.491900000000","29,4"
"Vista Alegre do Prata","4323606","-28.805199999990","-51.794600000000","2,6"
"Vista Gaúcha","4323705","-27.290199999990","-53.697400000000","10,9"
"Vitória das Missões","4323754","-28.351600000000","-54.503999999990","26,8"
"Westfalia","4323770","-29.374400000000","-51.746299999990","15,8"
"Xangri-lá","4323804","-29.806500000000","-50.051900000000","33,3"
